Date ,Open ,High ,Low ,Close ,Adj Close ,Volume 
12-Aug-24,4720.00,4720.00,4650.00,4680.00,4281.16,83552800
13-Aug-24,4700.00,4750.00,4690.00,4720.00,4317.75,109533400
14-Aug-24,4770.00,4840.00,4760.00,4820.00,4409.23,262716500
15-Aug-24,4850.00,4870.00,4790.00,4830.00,4418.38,214394900
16-Aug-24,4850.00,4870.00,4830.00,4830.00,4418.38,149701700
19-Aug-24,4820.00,4820.00,4750.00,4820.00,4409.23,196203200
20-Aug-24,4860.00,4950.00,4840.00,4950.00,4528.15,310085500
21-Aug-24,4990.00,5100.00,4980.00,5100.00,4665.37,390307000
22-Aug-24,5125.00,5150.00,5025.00,5050.00,4619.63,474043100
23-Aug-24,5150.00,5200.00,5125.00,5150.00,4711.11,217759300
26-Aug-24,5200.00,5325.00,5200.00,5300.00,4848.32,361169800
27-Aug-24,5250.00,5275.00,5100.00,5175.00,4733.98,271088700
28-Aug-24,5100.00,5175.00,5025.00,5150.00,4711.11,277561700
29-Aug-24,5125.00,5175.00,5100.00,5125.00,4688.24,160041900
30-Aug-24,5175.00,5175.00,5125.00,5150.00,4711.11,275298000
2-Sep-24,5150.00,5225.00,5150.00,5175.00,4733.98,136717200
3-Sep-24,5225.00,5250.00,5150.00,5175.00,4733.98,166033900
4-Sep-24,5100.00,5175.00,5100.00,5100.00,4665.37,141890400
5-Sep-24,5125.00,5150.00,5075.00,5150.00,4711.11,166436800
6-Sep-24,5200.00,5250.00,5150.00,5225.00,4779.71,170520700
9-Sep-24,5275.00,5300.00,5150.00,5175.00,4733.98,201448700
10-Sep-24,5200.00,5250.00,5125.00,5250.00,4802.58,202326400
11-Sep-24,5225.00,5250.00,5125.00,5175.00,4733.98,165284900
12-Sep-24,5175.00,5225.00,5150.00,5175.00,4733.98,138542100
13-Sep-24,5200.00,5300.00,5175.00,5300.00,4848.32,259722600
17-Sep-24,5350.00,5350.00,5250.00,5300.00,4848.32,201331600
18-Sep-24,5350.00,5375.00,5325.00,5350.00,4894.06,186877300
19-Sep-24,5425.00,5500.00,5400.00,5400.00,4939.80,332941100
20-Sep-24,5400.00,5450.00,5375.00,5375.00,4916.93,260437400
23-Sep-24,5350.00,5500.00,5350.00,5500.00,5031.28,245292000
24-Sep-24,5550.00,5575.00,5525.00,5525.00,5054.15,195415700
25-Sep-24,5400.00,5425.00,5200.00,5325.00,4871.19,607065900
26-Sep-24,5150.00,5200.00,5025.00,5050.00,4619.63,855266800
27-Sep-24,5050.00,5150.00,5000.00,5100.00,4665.37,304694300
30-Sep-24,5050.00,5050.00,4950.00,4950.00,4528.15,539169900
1-Oct-24,4970.00,5075.00,4970.00,5075.00,4642.50,197069300
2-Oct-24,5000.00,5075.00,4900.00,4940.00,4519.00,307487600
3-Oct-24,4900.00,4960.00,4860.00,4920.00,4500.71,354814800
4-Oct-24,4870.00,4920.00,4850.00,4860.00,4445.82,289960700
7-Oct-24,4860.00,4930.00,4810.00,4820.00,4409.23,308452200
8-Oct-24,4800.00,5050.00,4760.00,5000.00,4573.89,527474400
9-Oct-24,5000.00,5075.00,4930.00,4930.00,4509.85,309336600
10-Oct-24,4920.00,4970.00,4860.00,4860.00,4445.82,226564700
11-Oct-24,4910.00,4940.00,4890.00,4900.00,4482.41,104875300
14-Oct-24,4900.00,4930.00,4870.00,4900.00,4482.41,125414400
15-Oct-24,4930.00,4990.00,4920.00,4920.00,4500.71,142372200
16-Oct-24,4950.00,4970.00,4920.00,4950.00,4528.15,118014300
17-Oct-24,4960.00,5050.00,4940.00,4980.00,4555.59,188127700
18-Oct-24,5025.00,5050.00,4960.00,4970.00,4546.45,157113000
21-Oct-24,4980.00,5025.00,4970.00,4990.00,4564.74,110708200
22-Oct-24,4960.00,4970.00,4900.00,4900.00,4482.41,199707500
23-Oct-24,4830.00,4890.00,4810.00,4860.00,4445.82,222147300
24-Oct-24,4820.00,4900.00,4810.00,4820.00,4409.23,218162100
25-Oct-24,4820.00,4860.00,4770.00,4770.00,4363.49,195647800
28-Oct-24,4770.00,4800.00,4710.00,4760.00,4354.34,191211000
29-Oct-24,4730.00,4780.00,4700.00,4700.00,4299.46,203658600
30-Oct-24,4630.00,4750.00,4630.00,4710.00,4308.60,296314500
31-Oct-24,4710.00,4870.00,4710.00,4800.00,4390.93,307110400
1-Nov-24,4770.00,4820.00,4700.00,4700.00,4299.46,235656400
4-Nov-24,4710.00,4770.00,4650.00,4720.00,4317.75,209831500
5-Nov-24,4690.00,4740.00,4680.00,4710.00,4308.60,199499300
6-Nov-24,4710.00,4730.00,4600.00,4600.00,4207.98,249059500
7-Nov-24,4610.00,4640.00,4550.00,4550.00,4162.24,296218600
8-Nov-24,4600.00,4640.00,4520.00,4520.00,4134.80,198589900
11-Nov-24,4470.00,4540.00,4370.00,4460.00,4079.91,507192300
12-Nov-24,4430.00,4520.00,4430.00,4500.00,4116.50,252380100
13-Nov-24,4470.00,4610.00,4460.00,4580.00,4189.68,209627200
14-Nov-24,4570.00,4590.00,4500.00,4500.00,4116.50,159871800
15-Nov-24,4450.00,4510.00,4450.00,4470.00,4089.06,106365600
18-Nov-24,4440.00,4460.00,4350.00,4350.00,3979.28,253272300
19-Nov-24,4350.00,4410.00,4350.00,4360.00,3988.43,294838700
20-Nov-24,4400.00,4440.00,4330.00,4330.00,3960.99,298734600
21-Nov-24,4280.00,4320.00,4250.00,4250.00,3887.81,376788400
22-Nov-24,4250.00,4420.00,4250.00,4400.00,4025.02,280188100
25-Nov-24,4420.00,4530.00,4420.00,4470.00,4089.06,401446400
26-Nov-24,4450.00,4470.00,4380.00,4400.00,4025.02,266677500
28-Nov-24,4350.00,4390.00,4330.00,4330.00,3960.99,277081800
29-Nov-24,4280.00,4300.00,4250.00,4250.00,3887.81,412519800
2-Dec-24,4270.00,4280.00,4160.00,4170.00,3814.62,337188900
3-Dec-24,4240.00,4250.00,4210.00,4240.00,3878.66,384146700
4-Dec-24,4240.00,4370.00,4220.00,4350.00,3979.28,345762200
5-Dec-24,4310.00,4340.00,4250.00,4260.00,3896.95,183249300
6-Dec-24,4250.00,4310.00,4220.00,4310.00,3942.69,151433000
9-Dec-24,4310.00,4390.00,4300.00,4390.00,4015.87,158897200
10-Dec-24,4360.00,4380.00,4290.00,4360.00,3988.43,196160900
11-Dec-24,4340.00,4430.00,4340.00,4380.00,4006.73,203980300
